date,region,product,sales,units
2026-01-05,West,Widget A,1200,40
2026-01-06,East,Widget B,900,30
2026-01-07,West,Widget A,1550,52
2026-01-08,South,Widget C,700,25
2026-01-09,North,Widget B,1100,38
2026-01-10,East,Widget A,980,33
2026-01-11,West,Widget C,1320,44
2026-01-12,South,Widget A,860,29
2026-01-13,North,Widget C,1450,48
2026-01-14,East,Widget B,760,26
2026-01-15,West,Widget B,1690,56
2026-01-16,South,Widget B,940,31
2026-01-17,North,Widget A,1210,40
2026-01-18,East,Widget C,880,29
2026-01-19,West,Widget A,1740,58
2026-01-20,South,Widget C,1030,34
2026-01-21,North,Widget B,1380,46
2026-01-22,East,Widget A,720,24
2026-01-23,West,Widget C,1590,53
2026-01-24,South,Widget A,910,30
2026-01-25,North,Widget C,1260,42
2026-01-26,East,Widget B,1050,35
2026-01-27,West,Widget B,1480,49
2026-01-28,South,Widget B,830,28
2026-01-29,North,Widget A,1330,44
2026-01-30,East,Widget C,970,32
2026-01-31,West,Widget A,1620,54
2026-02-01,South,Widget C,890,29
2026-02-02,North,Widget B,1190,40
2026-02-03,East,Widget A,1040,35
